model_name,technique_name,rag_enabled,total_runs,valid_count,invalid_count,validity_rate_pct
Gemma-SEA-LION v4 4B,chain-of-thought,false,50,50,0,100.00
Gemma-SEA-LION v4 4B,few-shot,false,50,50,0,100.00
Gemma-SEA-LION v4 4B,structured-output,false,50,50,0,100.00
Gemma-SEA-LION v4 4B,zero-shot,false,50,50,0,100.00
Llama 3.2 3B Instruct,chain-of-thought,false,50,50,0,100.00
Llama 3.2 3B Instruct,few-shot,false,50,50,0,100.00
Llama 3.2 3B Instruct,structured-output,false,50,50,0,100.00
Llama 3.2 3B Instruct,zero-shot,false,50,50,0,100.00
MedGemma 4B,chain-of-thought,false,50,50,0,100.00
MedGemma 4B,few-shot,false,50,50,0,100.00
MedGemma 4B,structured-output,false,50,50,0,100.00
MedGemma 4B,zero-shot,false,50,50,0,100.00
Phi-4-mini 3.8B Instruct,chain-of-thought,false,50,50,0,100.00
Phi-4-mini 3.8B Instruct,few-shot,false,50,48,2,96.00
Phi-4-mini 3.8B Instruct,structured-output,false,50,50,0,100.00
Phi-4-mini 3.8B Instruct,zero-shot,false,50,50,0,100.00
Qwen 2.5 3B Instruct,chain-of-thought,false,50,50,0,100.00
Qwen 2.5 3B Instruct,few-shot,false,50,50,0,100.00
Qwen 2.5 3B Instruct,structured-output,false,50,50,0,100.00
Qwen 2.5 3B Instruct,zero-shot,false,50,50,0,100.00
